localDay,localTime,g,latitude,longitude,accuracy,altitude,speed,wifi mac,wifi ssid,wifi signal level,provider,safe
Weekday,1,10.10346409,34.0440655,-118.4639579,21.32299995,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-60,network,1
Weekday,1,10.10363626,34.0440656,-118.463958,21.51099968,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-60,network,1
Weekday,1,10.08541857,34.0440656,-118.4639579,21.49099922,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-64,network,1
Weekday,1,10.11440448,34.0440616,-118.4639455,21.08200073,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-64,network,1
Weekday,1,10.1492554,34.0440624,-118.4639458,21.0909996,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-64,network,1
Weekday,1,10.09431121,34.0440631,-118.4639536,21.47999954,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-64,network,1
Weekday,1,10.10459294,34.0440628,-118.4639536,21.47400093,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-64,network,1
Weekday,1,10.10598816,34.0440642,-118.4639548,21.51600075,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-63,network,1
Weekday,1,10.09710316,34.0440614,-118.4639447,21.04299927,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-63,network,1
Weekday,1,10.10515618,34.0440631,-118.4639539,21.48200035,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-62,network,1
Weekday,1,10.10502368,34.0440614,-118.4639447,21.04299927,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-62,network,1
Weekday,1,10.09882768,34.0440644,-118.4639546,21.5739994,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-62,network,1
Weekday,1,10.10427091,34.0440653,-118.463957,21.61300087,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-59,network,1
Weekday,1,10.09858479,34.0440643,-118.4639546,21.57299995,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-59,network,1
Weekday,1,10.10203264,34.044064,-118.4639479,21.10199928,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-60,network,1
Weekday,1,9.934937729,34.0440778,-118.4639285,21.28100014,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-57,network,1
Weekday,1,9.946198118,34.0440644,-118.463945,21.1760006,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-60,network,1
Weekday,1,10.09951665,34.0441141,-118.4638613,22.16300011,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-60,network,1
Weekday,1,10.11652349,34.0441122,-118.4638728,21.14900017,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-60,network,1
Weekday,1,9.993070109,34.0440852,-118.4639066,21.31500053,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-55,network,1
Weekday,1,10.59408596,34.0440714,-118.4639735,20.86000061,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-49,network,1
Weekday,1,9.822361747,34.04428764,-118.4640672,7.585000038,59.66955566,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-60,gps,1
Weekday,1,10.22029723,34.04419203,-118.4641091,12.13599968,57.74102783,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-36,gps,1
Weekday,1,8.239253125,34.04407002,-118.4638688,72.81599426,68.0480957,1.929999948,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-65,gps,1
Weekday,1,10.13262502,34.0440629,-118.4639415,21.16900063,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-60,network,1
Weekday,1,10.10949877,34.0440648,-118.4639499,21.20800018,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-61,network,1
Weekday,1,10.08048399,34.0440626,-118.4639413,21.10400009,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-59,network,1
Weekday,1,10.11703969,34.0440646,-118.4639494,21.19499969,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-59,network,1
Weekday,1,10.11789558,34.0440979,-118.4639056,21.89599991,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-59,network,1
Weekday,1,10.11813159,34.0440987,-118.4638978,24.03300095,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-59,network,1
Weekday,1,10.12015446,34.0440993,-118.4638978,21.87100029,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-60,network,1
Weekday,1,10.1174503,34.0440992,-118.4638977,21.81399918,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-59,network,1
Weekday,1,10.11744728,34.0440993,-118.4638978,21.85099983,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-61,network,1
Weekday,1,8.642327194,34.0440663,-118.4639557,21.16900063,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-60,network,1
Weekday,1,9.935052918,34.0440753,-118.4639097,21.69799995,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-59,network,1
Weekday,1,10.01717466,34.0440968,-118.463888,21.36000061,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-64,network,1
Weekday,1,10.06742634,34.0441126,-118.4638762,22.15299988,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-63,network,1
Weekday,1,10.0984386,34.0441042,-118.4638801,23.93700027,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-64,network,1
Weekday,1,10.10204775,34.0440846,-118.4639073,21.39299965,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-63,network,1
Weekday,1,9.981555714,34.0440496,-118.4639308,21.0739994,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-66,network,1
Weekday,1,10.0332862,34.04405,-118.4639327,21.31299973,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-66,network,1
Weekday,1,10.04376676,34.0440613,-118.4639256,21.51099968,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-67,network,1
Weekday,1,10.04862446,34.0440608,-118.4639265,21.72800064,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-66,network,1
Weekday,1,10.06064224,34.0440623,-118.4639112,21.70199966,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-67,network,1
Weekday,1,10.04862901,34.0440608,-118.4639265,21.71500015,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-65,network,1
Weekday,1,10.03837888,34.0440722,-118.4638997,21.47500038,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-68,network,1
Weekday,1,10.05435021,34.044061,-118.4639358,21.52199936,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-67,network,1
Weekday,1,10.06113098,34.0440829,-118.4638993,21.46299934,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-66,network,1
Weekday,1,10.06448553,34.044061,-118.4639255,21.5189991,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-68,network,1
Weekday,1,10.06403259,34.0440608,-118.4639265,21.72800064,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-69,network,1
Weekday,1,10.06235822,34.0440588,-118.4639236,21.56299973,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-69,network,1
Weekday,1,10.05173613,34.0440583,-118.4639341,21.2670002,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-67,network,1
Weekday,1,10.0623131,34.0440645,-118.4639164,21.54800034,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-66,network,1
Weekday,1,10.06465647,34.04406,-118.4639096,21.75,0.0,0.0,1c:b7:2c:c7:60:1c,"""TheLongestWIFISSIDEver""",-67,network,1
Weekday,1,10.02618451,34.0440546,-118.4639522,21.20899963,0.0,0.0,NotConnected,<unknown ssid>,-127,network,1
Weekday,1,10.01335473,34.0440636,-118.4639596,21.32299995,0.0,0.0,NotConnected,<unknown ssid>,-127,network,1
